iter	MAE	RMSE
0	4.113236149	5.277013012
1	3.79386198	4.910511837
2	3.675892818	4.760479059
3	3.578747161	4.633722738
4	3.518719647	4.555200746
5	3.405928619	4.387063446
6	3.290556295	4.221390004
7	3.222158723	4.127342133
8	3.166538178	4.06327097
9	3.128830794	4.016257497
10	3.064470565	3.929458846
11	3.009001961	3.856132521
12	2.95673916	3.785454082
13	2.909332156	3.726956851
14	2.860656599	3.664664487
15	2.821917586	3.61445723
16	2.772441225	3.550464729
17	2.741571644	3.514479705
18	2.702161343	3.468514062
19	2.672542955	3.432875167
20	2.644322323	3.394359867
21	2.60330185	3.342632582
22	2.570504652	3.300255104
23	2.51495606	3.229661813
24	2.485626704	3.193311618
25	2.447976951	3.146414231
26	2.413191033	3.104309933
27	2.374109336	3.05752279
28	2.338907365	3.014839501
29	2.314116836	2.984895902
30	2.290180625	2.95463771
31	2.264463832	2.922600086
32	2.223980048	2.874548304
33	2.203244784	2.848510845
34	2.170559022	2.810293278
35	2.142339919	2.773138106
36	2.117348929	2.740945343
37	2.084596941	2.700307768
38	2.058908267	2.672143965
39	2.035588882	2.642179429
40	2.001324711	2.597172315
41	1.980945573	2.572770732
42	1.956192983	2.541784721
43	1.935350706	2.516825481
44	1.911152345	2.486759495
45	1.900724073	2.474769259
46	1.883929747	2.45395314
47	1.861582982	2.425253632
48	1.842484271	2.398926029
49	1.817566635	2.363332308
50	1.791431196	2.333313222
51	1.777162086	2.315965002
52	1.764557165	2.301639566
53	1.74146376	2.276427465
54	1.729622415	2.260484045
55	1.709230355	2.237681042
56	1.69207293	2.21781794
57	1.674338386	2.19713277
58	1.66107843	2.183178214
59	1.644850807	2.165977538
60	1.620468925	2.135395775
61	1.612336907	2.12504297
62	1.601491666	2.111606026
63	1.590686388	2.095127496
64	1.56955512	2.071367274
65	1.549495375	2.048383714
66	1.531277675	2.02818618
67	1.519585878	2.013590517
68	1.507528587	1.996768514
69	1.493426674	1.977612012
70	1.479016008	1.960214357
71	1.463835526	1.940421115
72	1.453760322	1.926079502
73	1.437892657	1.906503662
74	1.421197673	1.887359252
75	1.403150773	1.862537274
76	1.39259652	1.849722493
77	1.381752782	1.835929786
78	1.364028101	1.814696235
79	1.351928258	1.799624752
80	1.342554466	1.786625596
81	1.330008886	1.771155428
82	1.320552952	1.758821608
83	1.305165684	1.737891042
84	1.289226108	1.717689278
85	1.279814752	1.70732156
86	1.265425567	1.69161292
87	1.25649152	1.678841539
88	1.245470099	1.665951319
89	1.233502386	1.652435299
90	1.223977	1.6409884
91	1.214081024	1.626987995
92	1.201119959	1.611709345
93	1.193576	1.600745612
94	1.184984148	1.592343182
95	1.178013172	1.583686675
96	1.162271455	1.565784575
97	1.146826861	1.547201332
98	1.135155039	1.533049227
99	1.129014272	1.525556156
100	1.119760998	1.513070732
101	1.105933221	1.495871117
102	1.095055074	1.482863462
103	1.086206548	1.468358693
104	1.078266812	1.459281243
105	1.068667582	1.445442002
106	1.062332476	1.438540148
107	1.046726981	1.418588634
108	1.037906778	1.407407066
109	1.028796921	1.395277831
110	1.018429199	1.380619489
111	1.010666422	1.369174878
112	1.001034452	1.358412528
113	0.9926997947	1.347188644
114	0.9850387115	1.33752729
115	0.9765779021	1.325910369
116	0.9680177949	1.314569641
117	0.9603659663	1.302110855
118	0.9542729068	1.294148497
119	0.9475965511	1.285163058
120	0.9402319029	1.276368513
121	0.9322309838	1.266796526
122	0.9257720612	1.259324752
123	0.917443548	1.24811415
124	0.9090982401	1.236983462
125	0.9028828764	1.228288117
126	0.8943027298	1.217153181
127	0.8852526862	1.205852115
128	0.8708171126	1.189153621
129	0.8675069987	1.182922222
130	0.8607513407	1.175221128
131	0.8575897477	1.170717503
132	0.8483785597	1.159027338
133	0.8412059513	1.151480672
134	0.8319458616	1.140892514
135	0.8257091297	1.132182736
136	0.8150857478	1.119436068
