iter	Passed	Remaining
0	187	374751
1	292	291788
2	398	265476
3	526	262692
4	628	250964
5	735	244409
6	836	238066
7	946	235748
8	1046	231456
9	1142	227392
10	1307	236388
11	1484	245988
12	1637	250247
13	1767	250760
14	1896	250989
15	2010	249258
16	2108	245895
17	2210	243444
18	2309	240783
19	2415	239148
20	2509	236493
21	2621	235668
22	2725	234250
23	2844	234158
24	2965	234289
25	3074	233425
26	3184	232706
27	3288	231625
28	3393	230668
29	3485	228906
30	3604	228950
31	3704	227854
32	3823	227889
33	3950	228453
34	4071	228599
35	4184	228312
36	4310	228698
37	4426	228543
38	4521	227339
39	4627	226757
40	4755	227208
41	4850	226127
42	4956	225579
43	5073	225528
44	5142	223406
45	5215	221536
46	5297	220126
47	5372	218465
48	5443	216736
49	5517	215188
50	5591	213676
51	5669	212384
52	5745	211074
53	5823	209870
54	5894	208450
55	5969	207243
56	6043	206011
57	6114	204731
58	6199	203946
59	6271	202789
60	6341	201590
61	6410	200381
62	6482	199315
63	6552	198207
64	6626	197278
65	6702	196389
66	6779	195580
67	6846	194519
68	6918	193629
69	6999	192977
70	7113	193276
71	7240	193893
72	7324	193358
73	7408	192808
74	7483	192077
75	7559	191385
76	7636	190724
77	7712	190047
78	7788	189397
79	7861	188682
80	7939	188097
81	8018	187554
82	8091	186877
83	8169	186336
84	8242	185691
85	8314	185038
86	8390	184488
87	8463	183885
88	8536	183303
89	8613	182793
90	8700	182527
91	8774	181966
92	8858	181638
93	8991	182323
94	9087	182220
95	9171	181910
96	9246	181403
97	9324	180974
98	9405	180610
99	9488	180278
100	9565	179843
101	9642	179428
102	9721	179051
103	9804	178743
104	9889	178479
105	9965	178058
106	10037	177587
107	10113	177177
108	10190	176784
109	10279	176614
110	10383	176709
111	10496	176947
112	10661	178034
113	10847	179464
114	10942	179353
115	11043	179367
116	11156	179547
117	11280	179913
118	11397	180153
119	11507	180276
120	11625	180529
121	11733	180621
122	11853	180883
123	12032	182042
124	12188	182834
125	12298	182916
126	12398	182851
127	12505	182892
128	12607	182858
129	12719	182962
130	12824	182971
131	12967	183504
132	13082	183641
133	13190	183679
134	13294	183655
135	13399	183650
136	13504	183646
137	13611	183654
138	13738	183939
139	13899	184659
140	14136	186376
141	14272	186742
142	14384	186798
143	14491	186775
144	14681	187826
145	14846	188535
146	14984	188883
147	15096	188907
148	15203	188868
149	15302	188731
150	15385	188394
151	15460	187964
152	15534	187533
153	15657	187682
154	15798	188053
155	15965	188719
156	16064	188580
157	16154	188335
158	16243	188082
159	16344	187965
160	16430	187675
161	16513	187359
162	16602	187113
163	16698	186947
164	16784	186665
165	16869	186378
166	16953	186086
167	17040	185821
168	17131	185604
169	17217	185345
170	17331	185377
171	17450	185458
172	17550	185349
173	17640	185128
174	17734	184944
175	17836	184849
176	17929	184664
177	18004	184290
178	18096	184097
179	18174	183764
180	18263	183544
181	18341	183212
182	18435	183049
183	18535	182941
184	18625	182731
185	18710	182476
186	18799	182268
187	18878	181954
188	18965	181725
189	19043	181412
190	19133	181219
191	19230	181086
192	19307	180770
193	19397	180580
194	19475	180274
195	19564	180077
196	19646	179813
197	19731	179579
198	19854	179685
199	19991	179927
200	20101	179911
201	20192	179735
202	20273	179467
203	20381	179438
204	20539	179849
205	20718	180434
206	20835	180474
207	21085	181658
208	21302	182545
209	21503	183289
210	21648	183551
211	21755	183483
212	21887	183631
213	22033	183887
214	22157	183957
215	22298	184171
216	22479	184701
217	22620	184911
218	22752	185035
219	22873	185065
220	23032	185408
221	23152	185431
222	23282	185527
223	23421	185696
224	23565	185905
225	23794	186772
226	23972	187242
227	24182	187947
228	24340	188238
229	24478	188376
230	24608	188451
231	24761	188701
232	24895	188799
233	25051	189067
234	25187	189172
235	25317	189238
236	25454	189351
237	25569	189303
238	25651	189003
239	25736	188733
240	25815	188422
241	25902	188167
242	26012	188080
243	26109	187903
244	26206	187721
245	26301	187530
246	26380	187230
247	26468	186986
248	26549	186702
249	26631	186423
250	26713	186141
251	26800	185900
252	26882	185626
253	26970	185394
254	27061	185186
255	27138	184883
256	27220	184613
257	27302	184345
258	27393	184137
259	27475	183877
260	27554	183593
261	27632	183301
262	27712	183027
263	27801	182814
264	27885	182570
265	27968	182319
266	28053	182088
267	28128	181786
268	28215	181566
269	28307	181377
270	28397	181176
271	28480	180934
272	28563	180692
273	28649	180471
274	28736	180254
275	28814	179985
276	28901	179772
277	28991	179580
278	29074	179346
279	29157	179113
280	29240	178877
281	29326	178661
282	29400	178374
283	29493	178209
284	29574	177965
285	29656	177731
286	29736	177483
287	29814	177232
288	29910	177082
289	30023	177037
290	30124	176916
291	30258	176988
292	30389	177047
293	30515	177070
294	30680	177324
295	30834	177507
296	30952	177482
297	31085	177543
298	31217	177593
299	31349	177647
300	31459	177573
301	31598	177665
302	31717	177641
303	31839	177628
304	31959	177612
305	32072	177553
306	32228	177728
307	32365	177799
308	32491	177808
